fir_number,crime_type,incident_date,incident_time,district,police_station,severity,status,latitude,longitude,description,modus_operandi
FIR000273,Drug Offence,2025-03-30,12:41,Davanagere,Harihara,HIGH,COLD,14.418,75.8983,Drug Offence reported at HSR Layout Sector 3. Transportation.,Transportation
FIR000274,Pickpocketing,2025-03-31,09:21,Koppal,Kushtagi,MEDIUM,UNDER_INVESTIGATION,15.3353,76.1212,Pickpocketing reported at Electronic City Phase 1. Crowd pick.,Crowd pick
FIR000275,Criminal Trespass,2025-03-02,12:24,Hassan,Arsikere,HIGH,COLD,13.0457,76.1202,Criminal Trespass reported at Vijayanagar 2nd Stage. Illegal occupation.,Illegal occupation
FIR000276,Vehicle Theft,2025-03-03,17:43,Koppal,Koppal Town,HIGH,CLOSED,15.3791,76.1609,Vehicle Theft reported at Jayanagar 4th Block. Key duplication.,Key duplication
FIR000277,Chain Snatching,2025-04-01,20:14,Dakshina Kannada,Mangaluru North,HIGH,PENDING,12.8595,74.8467,Chain Snatching reported at Basavanagudi. Market snatch.,Market snatch
FIR000278,Robbery,2025-04-02,15:54,Haveri,Haveri Town,HIGH,COLD,14.8326,75.4206,Robbery reported at HSR Layout Sector 3. Armed robbery.,Armed robbery
FIR000279,Fraud,2025-04-03,05:19,Haveri,Byadgi,HIGH,UNDER_INVESTIGATION,14.8037,75.4364,Fraud reported at Padmanabhanagar. Identity theft.,Identity theft
FIR000280,Kidnapping,2025-04-04,02:52,Shivamogga,Tirthahalli,HIGH,PENDING,13.9678,75.5511,Kidnapping reported at Kengeri Satellite Town. Custodial.,Custodial
FIR000281,Burglary,2025-04-05,02:38,Chikkaballapur,Main Police Station,HIGH,UNDER_INVESTIGATION,13.4309,77.7446,Burglary reported at Whitefield Main Road. Disguised entry.,Disguised entry
FIR000282,Assault,2025-04-06,05:52,Raichur,Manvi,LOW,PENDING,16.1609,77.3482,Assault reported at Banashankari 2nd Stage. Strangulation.,Strangulation
FIR000283,Burglary,2025-04-07,17:47,Mysuru,Kuvempunagar,MEDIUM,UNDER_INVESTIGATION,12.289,76.596,Burglary reported at RT Nagar. Disguised entry.,Disguised entry
FIR000284,Kidnapping,2025-04-08,12:01,Davanagere,Jagalur,LOW,PENDING,14.501,75.9584,Kidnapping reported at Nagarbhavi. Human trafficking.,Human trafficking
FIR000285,Drug Offence,2025-04-09,19:48,Chikkamagaluru,Mudigere,CRITICAL,COLD,13.3554,75.8179,Drug Offence reported at Banashankari 2nd Stage. Street peddling.,Street peddling
FIR000286,Arson,2025-04-10,05:16,Kodagu,Madikeri,LOW,COLD,12.4188,75.6928,Arson reported at Mahalakshmi Layout. Vehicle arson.,Vehicle arson
FIR000287,Assault,2025-04-11,14:06,Dakshina Kannada,Mangaluru South,HIGH,PENDING,12.8827,74.8107,Assault reported at Malleshwaram 8th Cross. Confrontation.,Confrontation
FIR000288,Domestic Violence,2025-04-12,14:39,Chikkamagaluru,Narasimharajapura,HIGH,UNDER_INVESTIGATION,13.2827,75.7652,Domestic Violence reported at RT Nagar. Elder abuse.,Elder abuse
FIR000289,Murder,2025-04-13,16:35,Dharwad,Kalghatgi,CRITICAL,COLD,15.4493,75.0391,Murder reported at Padmanabhanagar. Poisoning.,Poisoning
FIR000290,Assault,2025-04-14,04:31,Belagavi,Shahapur,LOW,PENDING,15.8104,74.5102,Assault reported at Kengeri Satellite Town. Weapon attack.,Weapon attack
FIR000291,Cybercrime,2025-04-15,08:24,Bengaluru Rural,Nelamangala,CRITICAL,CLOSED,13.0615,77.6067,Cybercrime reported at Vijayanagar 2nd Stage. Malware attack.,Malware attack
FIR000292,Sexual Offence,2025-04-16,16:45,Kodagu,Madikeri,CRITICAL,CLOSED,12.4245,75.7431,Sexual Offence reported at Electronic City Phase 1. Workplace harassment.,Workplace harassment
FIR000293,Cybercrime,2025-04-17,14:50,Udupi,Brahmavar,CRITICAL,CLOSED,13.3313,74.7911,Cybercrime reported at Whitefield Main Road. Fake call centre.,Fake call centre
FIR000294,Assault,2025-04-18,05:23,Vijayanagara,Hospet,CRITICAL,PENDING,15.2464,76.6321,Assault reported at Nagarbhavi. Confrontation.,Confrontation
FIR000295,Chain Snatching,2025-04-19,19:05,Vijayapura,Sindagi,LOW,CLOSED,16.8032,75.7512,Chain Snatching reported at Basavanagudi. Market snatch.,Market snatch
FIR000296,Vehicle Theft,2025-04-20,16:29,Uttara Kannada,Main Police Station,CRITICAL,CLOSED,14.859,74.1345,Vehicle Theft reported at Hebbal Ring Road. Towing.,Towing
FIR000297,Murder,2025-04-21,21:45,Chamarajanagar,Main Police Station,CRITICAL,PENDING,11.9298,76.917,Murder reported at Dasarahalli. Firearm.,Firearm
FIR000298,Fraud,2025-04-22,12:40,Uttara Kannada,Main Police Station,LOW,COLD,14.8083,74.0804,Fraud reported at MG Road. Online scam.,Online scam
FIR000299,Fraud,2025-04-23,23:36,Dharwad,Kalghatgi,LOW,UNDER_INVESTIGATION,15.4643,74.9835,Fraud reported at RT Nagar. Online scam.,Online scam
FIR000300,Domestic Violence,2025-04-24,10:08,Uttara Kannada,Main Police Station,HIGH,COLD,14.7999,74.1231,Domestic Violence reported at BTM Layout Stage 2. Physical abuse.,Physical abuse
FIR000301,Domestic Violence,2025-04-25,15:36,Haveri,Ranebennur,MEDIUM,CLOSED,14.7549,75.39,Domestic Violence reported at MG Road. Physical abuse.,Physical abuse
FIR000302,Arson,2025-04-26,06:46,Mysuru,Vijayanagar,MEDIUM,CLOSED,12.2526,76.6411,Arson reported at JP Nagar 6th Phase. Vehicle arson.,Vehicle arson
FIR000303,Murder,2025-04-27,22:09,Shivamogga,Shivamogga Town,CRITICAL,COLD,13.9784,75.5425,Murder reported at Marathahalli Bridge. Strangulation.,Strangulation
FIR000304,Kidnapping,2025-04-28,01:33,Haveri,Hangal,LOW,CLOSED,14.7665,75.3551,Kidnapping reported at MG Road. Honour related.,Honour related
FIR000305,Arson,2025-04-29,07:43,Shivamogga,Tirthahalli,CRITICAL,UNDER_INVESTIGATION,13.9447,75.5192,Arson reported at Koramangala 1st Cross. Forest fire.,Forest fire
FIR000306,Robbery,2025-04-30,16:07,Davanagere,Honnali,CRITICAL,PENDING,14.4831,75.9096,Robbery reported at Banashankari 2nd Stage. Bank robbery.,Bank robbery
FIR000307,Kidnapping,2025-04-01,00:28,Hassan,Holenarasipura,CRITICAL,COLD,12.9564,76.1459,Kidnapping reported at Nagarbhavi. Custodial.,Custodial
FIR000308,Chain Snatching,2025-04-02,18:16,Vijayapura,Indi,MEDIUM,CLOSED,16.7823,75.687,Chain Snatching reported at Banashankari 2nd Stage. Pedestrian snatch.,Pedestrian snatch
FIR000309,Cybercrime,2025-04-03,01:54,Mysuru,Krishnaraja,MEDIUM,UNDER_INVESTIGATION,12.3453,76.6229,Cybercrime reported at Kengeri Satellite Town. Credential theft.,Credential theft
FIR000310,Criminal Trespass,2025-04-04,06:49,Vijayanagara,Hospet,LOW,PENDING,15.2929,76.6593,Criminal Trespass reported at JP Nagar 6th Phase. Temple trespass.,Temple trespass
FIR000311,Drug Offence,2025-04-05,01:00,Shivamogga,Tirthahalli,LOW,COLD,13.9771,75.5489,Drug Offence reported at Rajajinagar. Smuggling.,Smuggling
FIR000312,Fraud,2025-04-06,10:22,Dharwad,Hubli South,LOW,CLOSED,15.4862,74.9811,Fraud reported at Peenya Industrial Area. Property fraud.,Property fraud
FIR000313,Pickpocketing,2025-04-07,08:39,Mandya,Nagamangala,MEDIUM,CLOSED,12.4841,76.8597,Pickpocketing reported at Whitefield Main Road. Crowd pick.,Crowd pick
FIR000314,Cybercrime,2025-04-08,00:43,Chikkaballapur,Main Police Station,CRITICAL,PENDING,13.4259,77.7375,Cybercrime reported at BTM Layout Stage 2. Malware attack.,Malware attack
FIR000315,Burglary,2025-04-09,18:44,Yadgiri,Shahapur,LOW,UNDER_INVESTIGATION,16.7638,77.0885,Burglary reported at JP Nagar 6th Phase. Disguised entry.,Disguised entry
FIR000316,Kidnapping,2025-04-10,06:20,Kalaburagi,Gulbarga North,HIGH,PENDING,17.2842,76.8481,Kidnapping reported at Kengeri Satellite Town. Custodial. [DELAYED INVESTIGATION],Custodial
FIR000317,Assault,2025-04-11,16:42,Ballari,Ballari Town,CRITICAL,COLD,15.144,76.8756,Assault reported at Sadashivanagar. Group assault.,Group assault
FIR000318,Burglary,2025-04-12,13:42,Ballari,Sandur,HIGH,PENDING,15.128,76.9164,Burglary reported at Uttarahalli. Window break.,Window break
FIR000319,Burglary,2025-04-13,14:54,Mysuru,Vijayanagar,HIGH,UNDER_INVESTIGATION,12.2942,76.6304,Burglary reported at Mahalakshmi Layout. Rooftop entry.,Rooftop entry
FIR000320,Assault,2025-04-14,23:50,Bengaluru Rural,Doddaballapura,CRITICAL,CLOSED,13.0655,77.6007,Assault reported at Jayanagar 4th Block. Strangulation.,Strangulation
FIR000321,Kidnapping,2025-04-15,19:48,Raichur,Raichur Town,CRITICAL,PENDING,16.1676,77.3859,Kidnapping reported at Vijayanagar 2nd Stage. For ransom.,For ransom
FIR000322,Burglary,2025-04-16,11:06,Mysuru,Udayagiri,LOW,CLOSED,12.2934,76.6251,Burglary reported at Vijayanagar Town. Disguised entry.,Disguised entry
FIR000323,Kidnapping,2025-04-17,17:31,Bidar,Basavakalyan,MEDIUM,CLOSED,17.8775,77.5714,Kidnapping reported at BTM Layout Stage 2. For ransom.,For ransom
FIR000324,Murder,2025-04-18,09:18,Vijayanagara,Hospet,HIGH,CLOSED,15.2378,76.6116,Murder reported at MG Road. Sharp weapon.,Sharp weapon
FIR000325,Drug Offence,2025-04-19,06:00,Vijayanagara,Hospet,CRITICAL,PENDING,15.2614,76.6193,Drug Offence reported at Electronic City Phase 1. Transportation.,Transportation
FIR000326,Burglary,2025-04-20,21:42,Mysuru,Kuvempunagar,HIGH,PENDING,12.2833,76.65,Burglary reported at Hebbal Ring Road. Forceful entry.,Forceful entry
FIR000327,Robbery,2025-04-21,01:24,Mysuru,Nazarbad,CRITICAL,COLD,12.3378,76.6025,"Robbery reported at 12th Main, Indiranagar. Highway robbery.",Highway robbery
FIR000328,Fraud,2025-04-22,23:31,Tumakuru,Kunigal,HIGH,PENDING,13.297,77.0973,Fraud reported at HSR Layout Sector 3. Identity theft.,Identity theft
FIR000329,Cybercrime,2025-04-23,10:17,Gadag,Mundargi,MEDIUM,CLOSED,15.4623,75.6411,Cybercrime reported at Basavanagudi. Fake call centre.,Fake call centre
FIR000330,Cybercrime,2025-04-24,21:46,Gadag,Ron,LOW,UNDER_INVESTIGATION,15.3777,75.5833,Cybercrime reported at Kengeri Satellite Town. Fake call centre.,Fake call centre
FIR000331,Drug Offence,2025-04-25,20:42,Koppal,Gangavati,HIGH,PENDING,15.3767,76.1498,Drug Offence reported at Nagarbhavi. Smuggling.,Smuggling
FIR000332,Drug Offence,2025-04-26,15:11,Tumakuru,Kunigal,HIGH,CLOSED,13.3042,77.0628,Drug Offence reported at Vijayanagar Town. Manufacturing.,Manufacturing
FIR000333,Burglary,2025-04-27,16:41,Mysuru,Nazarbad,CRITICAL,UNDER_INVESTIGATION,12.276,76.6294,Burglary reported at JP Nagar 6th Phase. Rooftop entry.,Rooftop entry
FIR000334,Arson,2025-04-28,00:14,Chamarajanagar,Main Police Station,HIGH,CLOSED,11.8963,76.9766,Arson reported at Marathahalli Bridge. Industrial arson.,Industrial arson
FIR000335,Assault,2025-04-29,00:56,Raichur,Lingsugur,CRITICAL,CLOSED,16.1945,77.3783,Assault reported at Subramanyapura. Strangulation.,Strangulation
FIR000336,Drug Offence,2025-04-30,00:17,Dharwad,Hubli North,HIGH,UNDER_INVESTIGATION,15.4489,75.0431,Drug Offence reported at Uttarahalli. Online sale.,Online sale
FIR000337,Vehicle Theft,2025-04-01,18:40,Shivamogga,Bhadravati,HIGH,UNDER_INVESTIGATION,13.9774,75.5326,Vehicle Theft reported at Koramangala 1st Cross. Valet theft.,Valet theft
FIR000338,Chain Snatching,2025-04-02,12:15,Uttara Kannada,Main Police Station,MEDIUM,UNDER_INVESTIGATION,14.8549,74.1334,Chain Snatching reported at HSR Layout Sector 3. Market snatch.,Market snatch
FIR000339,Murder,2025-04-03,18:43,Gadag,Naragund,LOW,UNDER_INVESTIGATION,15.4526,75.6142,Murder reported at Subramanyapura. Blunt force.,Blunt force
FIR000340,Drug Offence,2025-04-04,00:41,Vijayapura,Indi,HIGH,COLD,16.7942,75.6772,Drug Offence reported at Hebbal Ring Road. Transportation.,Transportation
FIR000341,Chain Snatching,2025-04-05,10:03,Gadag,Gadag Town,MEDIUM,COLD,15.4495,75.5806,Chain Snatching reported at Banashankari 2nd Stage. Pedestrian snatch.,Pedestrian snatch
FIR000342,Arson,2025-04-06,13:23,Chitradurga,Hiriyur,HIGH,CLOSED,14.2171,76.3785,Arson reported at Nagarbhavi. Forest fire.,Forest fire
FIR000343,Assault,2025-04-07,02:37,Bengaluru Rural,Magadi,MEDIUM,PENDING,13.0653,77.5752,Assault reported at Marathahalli Bridge. Group assault.,Group assault
FIR000344,Vehicle Theft,2025-04-08,11:40,Ballari,Kampli,LOW,CLOSED,15.0927,76.9215,Vehicle Theft reported at Koramangala 1st Cross. Key duplication.,Key duplication
FIR000345,Burglary,2025-04-09,09:22,Mysuru,Nazarbad,LOW,UNDER_INVESTIGATION,12.2625,76.6214,Burglary reported at MG Road. Disguised entry.,Disguised entry
FIR000346,Burglary,2025-04-10,11:38,Mysuru,Krishnaraja,CRITICAL,UNDER_INVESTIGATION,12.2757,76.632,Burglary reported at Dasarahalli. Lock picking.,Lock picking
FIR000347,Pickpocketing,2025-04-11,03:52,Haveri,Ranebennur,HIGH,CLOSED,14.8129,75.3627,Pickpocketing reported at Vijayanagar Town. Distraction theft.,Distraction theft
FIR000348,Burglary,2025-04-12,16:15,Kolar,KGF,LOW,COLD,13.1437,78.0823,Burglary reported at Koramangala 1st Cross. Forceful entry.,Forceful entry
FIR000349,Murder,2025-04-13,08:23,Belagavi,Shahapur,HIGH,COLD,15.8879,74.4854,Murder reported at Uttarahalli. Poisoning.,Poisoning
FIR000350,Kidnapping,2025-04-14,01:48,Gadag,Mundargi,LOW,CLOSED,15.38,75.6632,Kidnapping reported at Brigade Road. Honour related.,Honour related
FIR000351,Burglary,2025-04-15,09:48,Mysuru,Kuvempunagar,LOW,PENDING,12.2539,76.6257,Burglary reported at Subramanyapura. Lock picking.,Lock picking
FIR000352,Murder,2025-04-16,19:19,Mandya,Nagamangala,MEDIUM,UNDER_INVESTIGATION,12.571,76.8597,Murder reported at MG Road. Blunt force.,Blunt force
FIR000353,Fraud,2025-04-17,19:05,Kalaburagi,Gulbarga South,LOW,PENDING,17.3675,76.8531,Fraud reported at RT Nagar. Identity theft. [DELAYED INVESTIGATION],Identity theft
FIR000354,Drug Offence,2025-04-18,14:41,Dharwad,Dharwad Town,CRITICAL,PENDING,15.4669,75.0503,Drug Offence reported at Rajajinagar. Street peddling.,Street peddling
FIR000355,Pickpocketing,2025-04-19,09:19,Uttara Kannada,Main Police Station,MEDIUM,PENDING,14.7678,74.1591,Pickpocketing reported at Subramanyapura. Crowd pick.,Crowd pick
FIR000356,Kidnapping,2025-04-20,11:36,Ballari,Hospet,HIGH,UNDER_INVESTIGATION,15.1424,76.8914,Kidnapping reported at Kumaraswamy Layout. Human trafficking.,Human trafficking
FIR000357,Domestic Violence,2025-04-21,17:28,Yadgiri,Yadgiri Town,MEDIUM,UNDER_INVESTIGATION,16.764,77.1598,Domestic Violence reported at Subramanyapura. Physical abuse.,Physical abuse
FIR000358,Fraud,2025-04-22,10:42,Davanagere,Davanagere Town,LOW,PENDING,14.4657,75.8827,Fraud reported at JP Nagar 6th Phase. Insurance fraud.,Insurance fraud
FIR000359,Vehicle Theft,2025-04-23,01:17,Bengaluru Rural,Hoskote,LOW,CLOSED,13.0689,77.5978,Vehicle Theft reported at Dasarahalli. Valet theft.,Valet theft
FIR000360,Robbery,2025-04-24,22:28,Chikkaballapur,Main Police Station,MEDIUM,COLD,13.4543,77.7275,Robbery reported at Kengeri Satellite Town. Armed robbery.,Armed robbery
FIR000361,Robbery,2025-04-25,02:08,Chamarajanagar,Main Police Station,HIGH,COLD,11.9427,76.9034,Robbery reported at Basavanagudi. Bank robbery.,Bank robbery
FIR000362,Sexual Offence,2025-04-26,15:34,Vijayanagara,Hospet,CRITICAL,COLD,15.271,76.6581,Sexual Offence reported at Rajajinagar. Harassment.,Harassment
FIR000363,Burglary,2025-04-27,21:38,Mysuru,Kuvempunagar,CRITICAL,UNDER_INVESTIGATION,12.2626,76.6468,Burglary reported at Uttarahalli. Forceful entry.,Forceful entry
FIR000364,Fraud,2025-04-28,20:32,Uttara Kannada,Main Police Station,LOW,COLD,14.8115,74.1776,Fraud reported at Uttarahalli. Insurance fraud.,Insurance fraud
FIR000365,Vehicle Theft,2025-04-29,22:05,Chitradurga,Molakalmuru,LOW,COLD,14.2188,76.4419,Vehicle Theft reported at MG Road. Valet theft.,Valet theft
FIR000366,Assault,2025-04-30,04:48,Ramanagara,Channapatna,LOW,COLD,12.6897,77.2572,Assault reported at Kumaraswamy Layout. Road rage.,Road rage
FIR000367,Burglary,2025-04-01,10:34,Chikkaballapur,Main Police Station,MEDIUM,PENDING,13.3917,77.6993,Burglary reported at Hebbal Ring Road. Rooftop entry.,Rooftop entry
FIR000368,Vehicle Theft,2025-04-02,01:37,Chikkaballapur,Main Police Station,LOW,UNDER_INVESTIGATION,13.3868,77.7552,Vehicle Theft reported at MG Road. Carjacking.,Carjacking
FIR000369,Kidnapping,2025-05-01,15:42,Uttara Kannada,Main Police Station,CRITICAL,COLD,14.7788,74.1267,Kidnapping reported at BTM Layout Stage 2. Custodial.,Custodial
FIR000370,Kidnapping,2025-05-02,15:04,Ramanagara,Channapatna,MEDIUM,PENDING,12.7136,77.2717,Kidnapping reported at Vijayanagar 2nd Stage. Political.,Political
FIR000371,Chain Snatching,2025-05-03,19:13,Raichur,Sindhnur,LOW,PENDING,16.2185,77.3228,Chain Snatching reported at Uttarahalli. Pillion snatch.,Pillion snatch
FIR000372,Robbery,2025-05-04,17:11,Dakshina Kannada,Bantwal,MEDIUM,UNDER_INVESTIGATION,12.8556,74.8762,Robbery reported at Nagarbhavi. Chain snatching.,Chain snatching
FIR000373,Burglary,2025-05-05,23:09,Kodagu,Somwarpet,CRITICAL,UNDER_INVESTIGATION,12.4213,75.7099,Burglary reported at JP Nagar 6th Phase. Rooftop entry.,Rooftop entry
FIR000374,Domestic Violence,2025-05-06,11:57,Raichur,Lingsugur,LOW,UNDER_INVESTIGATION,16.1992,77.3187,Domestic Violence reported at Yelahanka New Town. Physical abuse.,Physical abuse
FIR000375,Murder,2025-05-07,06:30,Kalaburagi,Gulbarga South,LOW,PENDING,17.3702,76.8583,Murder reported at Malleshwaram 8th Cross. Poisoning. [DELAYED INVESTIGATION],Poisoning
FIR000376,Burglary,2025-05-08,05:20,Mysuru,Vijayanagar,LOW,COLD,12.3012,76.6142,Burglary reported at Peenya Industrial Area. Lock picking.,Lock picking
FIR000377,Domestic Violence,2025-05-09,06:50,Vijayapura,Muddebihal,MEDIUM,COLD,16.8284,75.7501,Domestic Violence reported at Kumaraswamy Layout. Marital rape.,Marital rape
FIR000378,Pickpocketing,2025-05-10,14:33,Mandya,Maddur,MEDIUM,COLD,12.5067,76.8955,Pickpocketing reported at Padmanabhanagar. Bus pick.,Bus pick
FIR000379,Burglary,2025-05-11,20:54,Mysuru,Krishnaraja,MEDIUM,COLD,12.3353,76.6256,Burglary reported at Brigade Road. Rooftop entry.,Rooftop entry
FIR000380,Burglary,2025-05-12,13:42,Mysuru,Vijayanagar,LOW,COLD,12.2668,76.5949,Burglary reported at Mahalakshmi Layout. Disguised entry.,Disguised entry
FIR000381,Chain Snatching,2025-05-13,00:26,Shivamogga,Sagara,HIGH,PENDING,13.8939,75.6082,Chain Snatching reported at Jayanagar 4th Block. Market snatch.,Market snatch
FIR000382,Kidnapping,2025-05-14,10:49,Davanagere,Honnali,HIGH,PENDING,14.4196,75.9597,Kidnapping reported at JP Nagar 6th Phase. Political.,Political
FIR000383,Chain Snatching,2025-05-15,16:08,Chikkamagaluru,Chikkamagaluru Town,CRITICAL,PENDING,13.3547,75.8107,Chain Snatching reported at Uttarahalli. Pedestrian snatch.,Pedestrian snatch
FIR000384,Murder,2025-05-16,21:37,Gadag,Mundargi,MEDIUM,COLD,15.4551,75.6146,Murder reported at Malleshwaram 8th Cross. Poisoning.,Poisoning
FIR000385,Assault,2025-05-17,10:44,Bidar,Basavakalyan,CRITICAL,CLOSED,17.9111,77.532,Assault reported at Mahalakshmi Layout. Confrontation.,Confrontation
FIR000386,Kidnapping,2025-05-18,12:04,Bengaluru Urban,Banashankari,MEDIUM,PENDING,12.9637,77.5534,Kidnapping reported at Dasarahalli. Political.,Political
FIR000387,Burglary,2025-05-19,05:44,Mysuru,Kuvempunagar,LOW,PENDING,12.3427,76.6828,Burglary reported at Vijayanagar Town. Forceful entry.,Forceful entry
FIR000388,Burglary,2025-05-20,21:07,Vijayanagara,Kampli,MEDIUM,COLD,15.29,76.6212,Burglary reported at Kengeri Satellite Town. Lock picking.,Lock picking
FIR000389,Robbery,2025-05-21,20:42,Chikkaballapur,Main Police Station,CRITICAL,UNDER_INVESTIGATION,13.4275,77.7825,Robbery reported at Jayanagar 4th Block. Highway robbery.,Highway robbery
FIR000390,Pickpocketing,2025-05-22,20:59,Vijayanagara,Kampli,MEDIUM,COLD,15.2468,76.5723,Pickpocketing reported at RT Nagar. Bus pick.,Bus pick
FIR000391,Fraud,2025-05-23,14:56,Bidar,Bidar Town,HIGH,COLD,17.8655,77.5086,Fraud reported at Dasarahalli. Insurance fraud.,Insurance fraud
FIR000392,Domestic Violence,2025-05-24,12:00,Haveri,Haveri Town,HIGH,CLOSED,14.8452,75.4038,"Domestic Violence reported at 12th Main, Indiranagar. Elder abuse.",Elder abuse
FIR000393,Drug Offence,2025-05-25,03:44,Mysuru,Nazarbad,HIGH,CLOSED,12.2638,76.6179,Drug Offence reported at Vijayanagar 2nd Stage. Online sale.,Online sale
FIR000394,Fraud,2025-05-26,04:29,Vijayanagara,Hospet,HIGH,UNDER_INVESTIGATION,15.291,76.5718,"Fraud reported at 12th Main, Indiranagar. Identity theft.",Identity theft
FIR000395,Vehicle Theft,2025-05-27,05:16,Yadgiri,Shahapur,HIGH,COLD,16.7952,77.1449,Vehicle Theft reported at JP Nagar 6th Phase. Lock breaking.,Lock breaking
FIR000396,Assault,2025-05-28,08:24,Yadgiri,Yadgiri Town,CRITICAL,COLD,16.7471,77.09,Assault reported at BTM Layout Stage 2. Group assault.,Group assault
FIR000397,Pickpocketing,2025-05-29,05:19,Davanagere,Harihara,CRITICAL,UNDER_INVESTIGATION,14.5001,75.9518,Pickpocketing reported at HSR Layout Sector 3. Bus pick.,Bus pick
FIR000398,Kidnapping,2025-05-30,15:44,Kalaburagi,Gulbarga North,LOW,UNDER_INVESTIGATION,17.3538,76.8826,Kidnapping reported at Whitefield Main Road. Honour related.,Honour related
FIR000399,Drug Offence,2025-05-01,23:22,Haveri,Hangal,LOW,CLOSED,14.7884,75.4415,Drug Offence reported at JP Nagar 6th Phase. Street peddling.,Street peddling
FIR000400,Burglary,2025-05-02,07:23,Mysuru,Kuvempunagar,CRITICAL,COLD,12.3162,76.6445,Burglary reported at Brigade Road. Forceful entry.,Forceful entry
FIR000401,Chain Snatching,2025-05-03,19:56,Davanagere,Honnali,MEDIUM,UNDER_INVESTIGATION,14.4831,75.9455,Chain Snatching reported at Jayanagar 4th Block. Market snatch.,Market snatch
FIR000402,Arson,2025-05-04,10:51,Vijayanagara,Kampli,MEDIUM,COLD,15.2985,76.5668,Arson reported at Peenya Industrial Area. Industrial arson.,Industrial arson
FIR000403,Burglary,2025-05-05,03:12,Bidar,Bhalki,LOW,UNDER_INVESTIGATION,17.9419,77.5258,Burglary reported at MG Road. Window break.,Window break
FIR000404,Sexual Offence,2025-05-06,01:48,Dharwad,Dharwad Town,MEDIUM,COLD,15.4399,74.977,Sexual Offence reported at Brigade Road. Assault.,Assault
FIR000405,Drug Offence,2025-05-07,01:14,Uttara Kannada,Main Police Station,CRITICAL,COLD,14.8259,74.1165,Drug Offence reported at Yelahanka New Town. Manufacturing.,Manufacturing
FIR000406,Burglary,2025-05-08,15:47,Gadag,Mundargi,LOW,UNDER_INVESTIGATION,15.4097,75.6415,Burglary reported at Nagarbhavi. Window break.,Window break
FIR000407,Arson,2025-05-09,13:01,Shivamogga,Shivamogga Town,MEDIUM,CLOSED,13.9637,75.5296,Arson reported at Malleshwaram 8th Cross. Industrial arson.,Industrial arson
FIR000408,Kidnapping,2025-05-10,16:08,Vijayapura,Vijayapura Town,CRITICAL,CLOSED,16.8759,75.727,Kidnapping reported at Vijayanagar 2nd Stage. Political.,Political
FIR000409,Fraud,2025-05-11,19:42,Udupi,Udupi Town,MEDIUM,UNDER_INVESTIGATION,13.3126,74.7457,Fraud reported at Hebbal Ring Road. Insurance fraud.,Insurance fraud
FIR000410,Chain Snatching,2025-05-12,10:15,Bidar,Bhalki,LOW,COLD,17.8818,77.5057,Chain Snatching reported at Uttarahalli. Roadside snatch.,Roadside snatch
FIR000411,Domestic Violence,2025-05-13,06:16,Chikkaballapur,Main Police Station,LOW,CLOSED,13.4005,77.7443,Domestic Violence reported at Electronic City Phase 1. Dowry harassment.,Dowry harassment
FIR000412,Murder,2025-05-14,05:37,Chitradurga,Molakalmuru,HIGH,UNDER_INVESTIGATION,14.1899,76.3731,Murder reported at Jayanagar 4th Block. Firearm.,Firearm
FIR000413,Assault,2025-05-15,16:39,Shivamogga,Sagara,LOW,CLOSED,13.911,75.5765,Assault reported at Vijayanagar Town. Road rage.,Road rage
FIR000414,Kidnapping,2025-05-16,03:13,Uttara Kannada,Main Police Station,CRITICAL,CLOSED,14.7893,74.1527,Kidnapping reported at Vijayanagar Town. Custodial.,Custodial
FIR000415,Kidnapping,2025-05-17,12:20,Belagavi,Maruti,LOW,PENDING,15.8961,74.5345,Kidnapping reported at Marathahalli Bridge. Honour related.,Honour related
FIR000416,Pickpocketing,2025-05-18,10:07,Dharwad,Dharwad Town,LOW,PENDING,15.4902,75.0009,Pickpocketing reported at Whitefield Main Road. Crowd pick.,Crowd pick
FIR000417,Robbery,2025-05-19,20:41,Udupi,Karkala,CRITICAL,PENDING,13.3044,74.7836,Robbery reported at Kengeri Satellite Town. Highway robbery.,Highway robbery
FIR000418,Pickpocketing,2025-05-20,14:16,Bengaluru Urban,Indiranagar,MEDIUM,PENDING,12.9622,77.5724,Pickpocketing reported at Whitefield Main Road. Distraction theft.,Distraction theft
FIR000419,Kidnapping,2025-05-21,19:12,Chamarajanagar,Main Police Station,CRITICAL,UNDER_INVESTIGATION,11.8887,76.9739,Kidnapping reported at Uttarahalli. Honour related.,Honour related
FIR000420,Fraud,2025-05-22,06:15,Chamarajanagar,Main Police Station,LOW,CLOSED,11.9658,76.9329,Fraud reported at Subramanyapura. Property fraud.,Property fraud
FIR000421,Chain Snatching,2025-05-23,16:02,Kodagu,Madikeri,LOW,COLD,12.4217,75.6978,Chain Snatching reported at Marathahalli Bridge. Market snatch.,Market snatch
FIR000422,Criminal Trespass,2025-05-24,15:36,Yadgiri,Shahapur,HIGH,PENDING,16.7564,77.1512,Criminal Trespass reported at Uttarahalli. Illegal occupation.,Illegal occupation
FIR000423,Murder,2025-05-25,16:50,Chikkaballapur,Main Police Station,CRITICAL,COLD,13.4362,77.7078,Murder reported at JP Nagar 6th Phase. Strangulation.,Strangulation
FIR000424,Burglary,2025-05-26,19:33,Vijayanagara,Kampli,HIGH,COLD,15.2816,76.6072,Burglary reported at Padmanabhanagar. Forceful entry.,Forceful entry
